统计年度,地区名称,人口数,0-14岁人口数,15-64岁人口数,65岁及以上人口数,总抚养比,少年儿童抚养比,老年人口抚养比,老龄化率,养老床位,经济(亿元),养保支出(亿元),养老床位_5年均值增长率,老龄化率增长率,床位增长率,经济增长率,养保支出增长率,老龄化率_lag1,老年人口抚养比_lag1,养老床位_lag1,65岁及以上人口数_lag1,人口数_lag1,15-64岁人口数_lag1,经济(亿元)_lag1,养保支出(亿元)_lag1,老龄化率_3年均值,老龄化率_3年标准差,老年人口抚养比_3年均值,老年人口抚养比_3年标准差,养老床位_3年均值,养老床位_3年标准差,65岁及以上人口数_3年均值,65岁及以上人口数_3年标准差,经济(亿元)_3年均值,经济(亿元)_3年标准差,养保支出(亿元)_3年均值,养保支出(亿元)_3年标准差,床位覆盖率
2016,内蒙古自治区,-0.6845814132202624,-0.8027920308123984,-0.6074073143999975,-0.8078046031412252,-1.649058952775916,-1.1324120189201083,-0.9460631898038239,-0.7499019876317908,-0.46752925489382946,-0.6274138734723911,-0.6562989332180292,0.25291981896700755,-1.0404424078594539,-0.12639200577718387,-0.3639491469227773,-0.30050276182231106,-0.5645459515112466,-0.7563536000712048,-0.4603411910406428,-0.7689106035951635,-0.6878743979462036,-0.6241514833581124,-0.6183980878595318,-0.6042144060160428,-0.6243272372117955,-1.2724939632515657,-0.8181542757378645,-1.317214440902124,-0.45855905411907777,-0.6820930799274797,-0.7804055756185099,-0.9850242530320723,-0.6224673470012536,-0.6730614658271467,-0.6428028829742152,-0.5265483064230437,1.135448791942284
2017,内蒙古自治区,-0.6828418805701864,-0.7670602276634438,-0.6325081080837017,-0.7146521311584526,-1.133804162742421,-0.9093986784673651,-0.4663564792832015,-0.2834291433267005,-0.44657058014666634,-0.5824916213885082,-0.5802071461279977,0.14360243794261615,1.6283396914805894,-0.13971697252768242,-0.011232840777483826,0.0025783618378706972,-0.6066103625944459,-0.8064615591200311,-0.4367452870187189,-0.7749711157057098,-0.6851914209536111,-0.6163135233061316,-0.5817796658835586,-0.5921407302290156,-0.440747591545902,0.33424298808678626,-0.6376434073286354,0.21545076865687762,-0.4431535854942823,-0.6229735672791655,-0.7443069438300464,-0.3591638652577666,-0.5826163121634725,-0.5904254646421699,-0.5762768325019286,-0.6110786372441085,0.7575049414333979
2018,内蒙古自治区,-0.6814355097639773,-0.7784981935544548,-0.6150627390543301,-0.7785449683675659,-1.4401337228445266,-1.0078321528740932,-0.7993036025669211,-0.6128980406286622,-0.45723944236908637,-0.5321436457689931,-0.45851460279030615,0.023143174752622595,-2.354070687585375,-0.28501944505599214,0.05705601346415586,0.13567121007102673,-0.10167763866610774,-0.2839071290394113,-0.41537416659614546,-0.6767502957874283,-0.6834340741808146,-0.6414605901015856,-0.5334593163497906,-0.5082375311859092,-0.4048737986850996,0.19593135038443976,-0.6004079815581216,0.09245840891979364,-0.4316630379391542,-0.7036441728079376,-0.7360422429250804,-0.4233897755029343,-0.5361917758002003,-0.48900602397927356,-0.4994349042666737,-0.17260309733714366,1.0205801968656223
2019,内蒙古自治区,-0.6824724994431055,-0.7907860981418914,-0.61753015091431,-0.7566502928909954,-1.4161355545415963,-1.0539728440022471,-0.6963528473410343,-0.4979726665712329,-0.5039919867874384,-0.4887212464725139,-0.4263817472102686,-0.3870131551752262,-0.25538663358656405,-0.45074466959536935,-0.3296140914572325,-0.24756717644562853,-0.45831067699907463,-0.646593308821394,-0.4262529813150029,-0.744119488724627,-0.6820133010797528,-0.6239830606743881,-0.4793028200167528,-0.3740523046825116,-0.3127876268286038,-0.33022638729690434,-0.5081288829094571,-0.3983265394011422,-0.4441958696751677,-0.5638690131502248,-0.7180608849251027,-0.6368204058635093,-0.4864000544053946,-0.4982377647716626,-0.41479471777536014,-0.3285701863535208,0.7200598097488149
2020,内蒙古自治区,-0.7263546439701053,-0.7761138668197962,-0.712097638386225,-0.6119057623730113,-0.4394806874602979,-0.7009811766414945,0.31637592225761724,0.4531678808669673,-0.5458353753651447,-0.4868774242046926,-0.38564474244110825,-0.46505838006722355,3.8172573077866123,-0.44007847036222014,-1.7787042427140065,-0.22553903786861706,-0.3339099045216366,-0.5344469242835443,-0.4739255688654899,-0.7210335423038904,-0.6830609103131636,-0.6264550211883337,-0.4325957780883385,-0.3386207623221603,-0.043543856896098576,2.701218076217159,-0.21887438193477554,2.5078741688171555,-0.47831478812080075,-0.46787027034332135,-0.6819442951149517,0.18048566149915715,-0.4520738211329598,-0.7665898364541012,-0.34316980613565057,-0.7022847189452321,0.03233049916874219
2021,内蒙古自治区,-0.7272082105869753,-0.7907319712369555,-0.7186083638415734,-0.5636123757483268,-0.3136314695658153,-0.7494442825564321,0.5806746057800748,0.7157073951375765,-0.5396503937128059,-0.3285477456778922,-0.33009428139225344,-0.4947620804306359,0.16611262743042554,-0.20505270887843358,3.307833921328555,-0.1888456937611698,0.695650536820051,0.568739446508574,-0.5165923933174386,-0.5684135831814703,-0.7273924410059297,-0.7211968430646039,-0.4306124817858088,-0.2937017881426906,0.44209309862935353,3.088724906507794,0.29108905796573764,2.8824974763160793,-0.5066407673537683,-0.6193020944389164,-0.6063928924111582,0.3198154213483492,-0.3789813247706998,0.06872542035234729,-0.2958940015681803,-0.6033433426521031,-0.08226160584093217
2022,内蒙古自治区,-0.7266019629874099,-0.8094256853068541,-0.7228852143823536,-0.5100278882596104,-0.20211056980514105,-0.8263454344366885,0.8632415722511263,0.9985233494090047,-0.5396688839419609,-0.23848770350826282,-0.28722413891881704,-0.5314753490875979,0.18203278758431318,-0.23694026425125717,0.548164754914343,-0.2351784496614033,0.9798359801912824,0.8566454626434028,-0.5102856974362292,-0.5174925938621066,-0.7282547487869638,-0.7277195709900879,-0.26030611794415787,-0.23244864153432296,0.9890980630772647,0.4351414659229771,0.8674286916310792,0.27279586450928145,-0.5189034949575402,-0.7518174792532338,-0.5197021379703365,-0.37660793407469406,-0.28914555538317366,0.4943840315593271,-0.24466544348607128,-0.5948595507111617,-0.21568565683823038
2014,北京市,-0.8113703651752332,-0.9924433797882874,-0.7107519899493803,-0.9470121883792043,-2.4367635358956163,-1.7414691418117383,-1.3009147290930516,-1.046123738329068,-0.115364350408193,-0.25724194055010974,-0.8584408887013624,4.150890555627258,-0.902057465452838,2.1563811085322686,0.08769893380547121,0.17505893798841832,-0.9152401435904872,-1.1906225784943685,-0.5382934604602547,-0.9284059244080535,-0.8261676573406866,-0.7325219352195839,-0.26167538117917166,-0.8717137031599633,-0.9442014294558089,-1.4862904093906326,-1.224101363214226,-1.4987515589631042,-0.31218168061813345,1.4489166651506749,-0.9291979493576636,-1.030920565838483,-0.2269227395648242,-0.4429131950927061,-0.8518880019153611,-0.7037277510384705,4.150691667903405
2015,北京市,-0.8092197801230461,-0.9927151114799588,-0.7305468580648448,-0.8273704992344204,-1.9836216520579393,-1.6984044967587948,-0.659115340131671,-0.34515671167902834,-0.07935462912888096,-0.18216422038971566,-0.7938048411342947,2.000770275029995,3.2535200154931627,-0.1211798815774115,-0.0016882693188273491,0.18119535030895284,-0.9272550845593791,-1.1930086717824078,-0.0776501308049257,-0.9217528689955963,-0.8132787871404917,-0.7198487139356632,-0.18360645869449674,-0.815034124831687,-0.6900098905443308,1.3693900496589857,-0.9873326232604158,0.9009904262356208,-0.22216709527684206,1.117099545438172,-0.8860334741374503,-0.09511439530802039,-0.18694108994698644,-0.15942607038714612,-0.8186317933385325,-0.5211693790687031,3.0124378156062024
2016,北京市,-0.8092135641578541,-0.9627136286687599,-0.7503632191416254,-0.7662872383994148,-1.560124564359176,-1.5015375479453386,-0.28235938483693535,0.01684562266547354,-0.0362261696249039,-0.09051600346951291,-0.7481917403397349,1.2958017941903208,0.8577604845967516,-0.10252884558565958,0.2360715177917439,-0.050358175663448426,-0.1684945383208889,-0.4938833383868752,-0.0409317743664944,-0.7956015758084214,-0.8111061784798148,-0.7396800737316666,-0.10284956178793599,-0.7437626858002618,-0.30552648735046967,2.3767733251355576,-0.6117405024447997,1.8461331239093832,-0.039691098925716935,-0.5006034893182109,-0.8202885186371061,0.19986362832659957,-0.10102885473767252,-0.037669296396110885,-0.7591223575208815,-0.5441805239060995,2.692473360242336
